Kingdom,Phylum,Class,Order,Family,Genus,total_counts,Flight-February,Flight-April,Ground-February,Ground-April,month_presence,area_presence,presence_type
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Eggerthella,172,0,118,0,54,Only April,Both sites,Only April
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Gordonibacter,6,0,6,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Paraeggerthella,9,0,0,0,9,Only April,Only Ground,Only April-Ground
Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,461,101,203,115,42,Both months,Both sites,All sample types
Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,4,4,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Parviterribacter,12,0,12,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,Chthonomonas,9,9,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,19040,5,11168,55,7812,Both months,Both sites,All sample types
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,468,0,316,0,152,Only April,Both sites,Only April
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,122,0,88,0,34,Only April,Both sites,Only April
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,24,0,7,0,17,Only April,Both sites,Only April
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,71,0,71,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,265,0,265,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Sanguibacteroides,9,0,9,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,255,229,0,15,11,Both months,Both sites,All except April-flight
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,242,69,61,32,80,Both months,Both sites,All sample types
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,585,0,363,0,222,Only April,Both sites,Only April
